Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:56 AM,07:20 AM,12:43 PM,03:45 PM,06:05 PM,07:25 PM,12:01 AM
02,05:56 AM,07:21 AM,12:43 PM,03:45 PM,06:06 PM,07:26 PM,12:01 AM
03,05:57 AM,07:21 AM,12:44 PM,03:46 PM,06:07 PM,07:27 PM,12:02 AM
04,05:57 AM,07:21 AM,12:44 PM,03:47 PM,06:07 PM,07:27 PM,12:02 AM
05,05:57 AM,07:22 AM,12:45 PM,03:47 PM,06:08 PM,07:28 PM,12:03 AM
06,05:57 AM,07:22 AM,12:45 PM,03:48 PM,06:09 PM,07:28 PM,12:03 AM
07,05:58 AM,07:22 AM,12:46 PM,03:49 PM,06:09 PM,07:29 PM,12:04 AM
08,05:58 AM,07:22 AM,12:46 PM,03:49 PM,06:10 PM,07:30 PM,12:04 AM
09,05:58 AM,07:22 AM,12:46 PM,03:50 PM,06:11 PM,07:30 PM,12:05 AM
10,05:58 AM,07:22 AM,12:47 PM,03:51 PM,06:11 PM,07:31 PM,12:05 AM
11,05:59 AM,07:23 AM,12:47 PM,03:51 PM,06:12 PM,07:31 PM,12:06 AM
12,05:59 AM,07:23 AM,12:48 PM,03:52 PM,06:13 PM,07:32 PM,12:06 AM
13,05:59 AM,07:23 AM,12:48 PM,03:53 PM,06:13 PM,07:33 PM,12:06 AM
14,05:59 AM,07:23 AM,12:48 PM,03:53 PM,06:14 PM,07:33 PM,12:07 AM
15,05:59 AM,07:23 AM,12:49 PM,03:54 PM,06:15 PM,07:34 PM,12:07 AM
16,05:59 AM,07:23 AM,12:49 PM,03:54 PM,06:16 PM,07:35 PM,12:08 AM
17,05:59 AM,07:23 AM,12:50 PM,03:55 PM,06:16 PM,07:35 PM,12:08 AM
18,05:59 AM,07:23 AM,12:50 PM,03:56 PM,06:17 PM,07:36 PM,12:08 AM
19,05:59 AM,07:23 AM,12:50 PM,03:56 PM,06:18 PM,07:36 PM,12:09 AM
20,05:59 AM,07:22 AM,12:50 PM,03:57 PM,06:18 PM,07:37 PM,12:09 AM
21,05:59 AM,07:22 AM,12:51 PM,03:58 PM,06:19 PM,07:38 PM,12:09 AM
22,05:59 AM,07:22 AM,12:51 PM,03:58 PM,06:20 PM,07:38 PM,12:10 AM
23,05:59 AM,07:22 AM,12:51 PM,03:59 PM,06:21 PM,07:39 PM,12:10 AM
24,05:59 AM,07:22 AM,12:52 PM,03:59 PM,06:21 PM,07:39 PM,12:10 AM
25,05:59 AM,07:22 AM,12:52 PM,04:00 PM,06:22 PM,07:40 PM,12:11 AM
26,05:59 AM,07:21 AM,12:52 PM,04:01 PM,06:23 PM,07:41 PM,12:11 AM
27,05:59 AM,07:21 AM,12:52 PM,04:01 PM,06:23 PM,07:41 PM,12:11 AM
28,05:59 AM,07:21 AM,12:52 PM,04:02 PM,06:24 PM,07:42 PM,12:12 AM
29,05:59 AM,07:21 AM,12:53 PM,04:02 PM,06:25 PM,07:42 PM,12:12 AM
30,05:58 AM,07:20 AM,12:53 PM,04:03 PM,06:26 PM,07:43 PM,12:12 AM
31,05:58 AM,07:20 AM,12:53 PM,04:03 PM,06:26 PM,07:44 PM,12:12 AM
